system,standard_no,name,geometry_family,elevation_family,route_constraint,target_family,generator_tags
Beton,1,"Gerade Bahn",straight,flat,open,cup,"straight;bank-shot;target-circle"
Beton,2,"Gerade Bahn mit Steinen im Zielkreis",straight,flat,open,cup,"straight;target-obstacles;bank-shot"
Beton,3,"Gerade Bahn mit Tordurchgang",straight,flat,gate,cup,"straight;bottleneck;precision"
Beton,4,"Winkelbahn mit Tordurchgang",angle,incline,gate,cup,"right-angle;gate;bank-shot"
Beton,5,"Bogenbahn mit Steinen",curve,incline,open,cup,"curve;slalom;bank-shot"
Beton,6,"Bunker-Sprung",straight,ramp,jump,cup,"gap;forced-air;landing-zone"
Beton,7,"Weitschlag",straight,hill,open,cup,"long-shot;speed-control;large-target"
Beton,8,"Kegel am Zielkreis",straight,slope,gate,cup,"funnel;center-line;speed-control"
Beton,9,"Winkel mit Tordurchgang",angle,slope,gate,cup,"right-angle;gate;precision"
Beton,10,"Drei Huegel",straight,waves,open,cup,"rhythm;speed-control;waves"
Beton,11,"Bogenbahn mit Laengsmauer",curve,flat,split,cup,"curve;channel;route-choice"
Beton,12,"Versetzte Diagonale mit Mauer",offset,flat,gate,cup,"offset;bank-shot;precision"
Beton,13,"S-Bogen mit Steinen",s_curve,incline,open,cup,"s-curve;slalom;speed-control"
Beton,14,"Knickbahn mit Steinen",offset,flat,open,cup,"kink;slalom;bank-shot"
Beton,15,"Tunnel auf Plateau",straight,ramp,tunnel,cup,"ramp;tunnel;elevated-section"
Beton,16,"Winkel direkt am Abschlag",angle,flat,gate,cup,"early-decision;bank-shot;gate"
Beton,17,"Gerade Bahn mit Engstelle",straight,slope,gate,cup,"bottleneck;straight;precision"
Beton,18,"Auflauf mit Auffangkasten",straight,ramp,capture,box,"ramp;capture-target;one-shot"
Miniaturgolf,1,Pyramiden,straight,flat,open,cup,"slalom;multiple-lines;target-circle"
Miniaturgolf,2,Salto,straight,loop,forced_path,cup,"loop;forced-path;speed-window"
Miniaturgolf,3,"Schraeger Kreis mit Niere",target_centric,slope,choice,cup,"tunnel-or-bypass;asymmetric;target-circle"
Miniaturgolf,4,Doppelwellen,straight,waves,open,cup,"rhythm;speed-control;waves"
Miniaturgolf,5,"Liegende Schleife",straight,loop,forced_path,cup,"horizontal-loop;forced-path;speed-window"
Miniaturgolf,6,Bruecke,straight,hill,open,cup,"bridge;crest;speed-control"
Miniaturgolf,7,"Sprungschanze mit Netz",straight,ramp,jump,net,"forced-air;capture-target;one-shot"
Miniaturgolf,8,"Gerade Bahn mit Zielkreisfenster",straight,flat,gate,cup,"late-gate;precision;target-circle"
Miniaturgolf,9,Rohr,straight,flat,tunnel,cup,"tube;forced-path;exit-speed"
Miniaturgolf,10,Staebe,straight,flat,slalom,cup,"slalom;alternating-sides;precision"
Miniaturgolf,11,Labyrinth,straight,incline,route_selection,area,"multiple-entrances;one-valid-route;capture-target"
Miniaturgolf,12,"Stumpfe Kegel",straight,hills,open,cup,"alternating-hills;bank-shot;speed-control"
